filename,width,height,class,xmin,ymin,xmax,ymax
video17_129_JPEG.rf.096e62571ad8c505c6d8e9c53289e530.jpg,640,640,0,317,265,376,306
almere-netherlands-september-29-2017-260nw-724471786_jpg.rf.08da9d6f63ec137e9961192d7037c7c1.jpg,640,640,0,141,50,481,480
video15_324_JPEG_jpg.rf.0a460ce293052fe9d42b7ef0e723c4e0.jpg,640,640,0,250,308,354,392
video18_1318_JPEG.rf.08f8a108f42a3d0cf77587dba38364da.jpg,640,640,0,202,153,232,183
video18_1318_JPEG.rf.08f8a108f42a3d0cf77587dba38364da.jpg,640,640,0,366,232,412,273
video14_38_JPEG_jpg.rf.0a07e19d1bb93f589524342ef3eab6df.jpg,640,640,0,208,313,413,533
51_jpg.rf.09d978b1b322dbbd32339cd6af7b20ef.jpg,640,640,0,158,124,562,495
video14_93_JPEG.rf.09ee304a01dce3a162144ec8f6c98579.jpg,640,640,0,136,115,232,215
drone-oversees-activity-firefighters-during-260nw-569066557_jpg.rf.0a52197501066a423f96605ea670e1f0.jpg,640,640,0,172,144,323,345
pic_1048_jpg.rf.095b6316bef899d9c96092113498f863.jpg,640,640,0,119,100,535,351
bangkok-thailand-june-18-2016-260nw-438992650_jpg.rf.08e06099d8c0fb2852a8bf6bd0a34f99.jpg,640,640,0,35,69,607,562
video16_223_JPEG.rf.092f770c937723ca5852f37b85b3c0a0.jpg,640,640,0,118,46,422,413
video15_405_JPEG.rf.097ae00c09fffcf85c9582773daea133.jpg,640,640,0,255,134,296,191
video16_735_JPEG.rf.094534a33fdbca6af98a64183f8d2a71.jpg,640,640,0,52,56,79,87
bangkok-thailand-november-14-2016-260nw-515756785_jpg.rf.098481c109031a2ac61d6adb53cb096e.jpg,640,640,0,276,176,483,311
video18_1461_JPEG.rf.08fadd22f17023fd6515901882104014.jpg,640,640,0,393,294,410,315
pic_857_jpg.rf.0a603e42338659ec7c8506cc64b8d3bf.jpg,640,640,0,26,129,393,319
video15_394_JPEG.rf.091a2f3a98356adc4d97ccd5fdd0017c.jpg,640,640,0,284,251,320,293
video16_177_JPEG.rf.09bca41cf294afd31628edec611ddc18.jpg,640,640,0,163,138,415,420
video17_1163_JPEG.rf.0a27c6dcac3a8c57982c80ee2e0957a3.jpg,640,640,0,369,301,383,326
video15_396_JPEG.rf.09dc8a1ec5e6b3b4a518fd86f551e608.jpg,640,640,0,281,205,317,252
bangkok-thailand-june-18-2016-260nw-438992692_jpg.rf.0a6123f49317b65aeff679fe0eac2e61.jpg,640,640,0,192,105,502,361
0320_jpg.rf.0a04d40f00453af2385974a18bada177.jpg,640,640,0,33,56,630,608
fort-collins-co-usa-june-260nw-292064300_jpg.rf.0a7c4f8d0f9200d0890640b8652505d0.jpg,640,640,0,39,85,356,414
video18_254_JPEG.rf.08c0a1c380bf98a591104748b20aba00.jpg,640,640,0,145,118,199,170
video18_254_JPEG.rf.08c0a1c380bf98a591104748b20aba00.jpg,640,640,0,518,230,578,298
video17_123_JPEG.rf.0a8598b6399b982d9abb809ca89351d1.jpg,640,640,0,286,259,338,303
video17_676_JPEG.rf.0a936da3f76e51e2a381d9da0faab8f1.jpg,640,640,0,341,481,573,640
video18_1279_JPEG.rf.09272316a69e36671160b322f1a09d6a.jpg,640,640,0,474,207,502,237
video18_1279_JPEG.rf.09272316a69e36671160b322f1a09d6a.jpg,640,640,0,229,160,253,188
